electrophile,core,base,yield
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,51.0
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,65.0
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,36.0
iodomethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,55.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,30.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,58.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,51.0
iodoethane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,22.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,25.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,48.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,33.0
1-iodopropane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,24.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,45.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,80.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,52.0
1-iodobutane,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,30.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,120.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,80.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,84.0
2-(bromomethyl)-1-methylimidazole,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,15.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,130.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,123.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,106.0
2-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,40.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,105.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,79.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,82.0
4-(bromomethyl)pyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,2.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,83.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,167.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,76.0
2-(bromomethyl)-6-methylpyridine,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,55.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,55.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,95.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,65.0
1-(bromomethyl)-2-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,35.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,60.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,75.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,66.0
1-(bromomethyl)-4-phenylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,36.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,67.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,82.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,63.0
bromomethylbenzene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,LiHMDS,37.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,P2-Et,61.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,BTTP,89.0
1-bromo-3-methylbut-2-ene,tert-butyl 4-(4-(5-(4-chlorophenyl)furan-2-carboxamido)phenyl)piperazine-1-carboxylate,NaOtBu,60.0
