base,ligand,aryl_halide,additive,yield
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,None,26.8886154
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,None,24.0632241
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,None,47.51582059
P2Et,XPhos,1-chloro-4-methoxybenzene,None,2.126831127
P2Et,XPhos,1-bromo-4-methoxybenzene,None,47.58635419
P2Et,XPhos,1-iodo-4-methoxybenzene,None,50.06002592
P2Et,XPhos,1-chloro-4-ethylbenzene,None,26.62339329
P2Et,XPhos,1-bromo-4-ethylbenzene,None,71.96255996
P2Et,XPhos,1-ethyl-4-iodobenzene,None,73.69723373
P2Et,XPhos,2-chloropyridine,None,17.98570951
P2Et,XPhos,2-bromopyridine,None,21.488335600000003
P2Et,XPhos,2-iodopyridine,None,21.32776371
P2Et,XPhos,3-chloropyridine,None,49.05978648
P2Et,XPhos,3-bromopyridine,None,13.60707235
P2Et,XPhos,3-iodopyridine,None,75.73922794
P2Et,XPhos,None,None,0.0
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,None,20.67171682
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,None,37.06517611
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,None,40.10891679
BTMG,XPhos,1-chloro-4-methoxybenzene,None,1.571873729
BTMG,XPhos,1-bromo-4-methoxybenzene,None,13.57958799
BTMG,XPhos,1-iodo-4-methoxybenzene,None,19.5845705
BTMG,XPhos,1-chloro-4-ethylbenzene,None,5.831100664
BTMG,XPhos,1-bromo-4-ethylbenzene,None,34.70564689
BTMG,XPhos,1-ethyl-4-iodobenzene,None,33.31429413
BTMG,XPhos,2-chloropyridine,None,28.19737429
BTMG,XPhos,2-bromopyridine,None,51.62190853
BTMG,XPhos,2-iodopyridine,None,55.27637145
BTMG,XPhos,3-chloropyridine,None,14.11609154
BTMG,XPhos,3-bromopyridine,None,28.41522329
BTMG,XPhos,3-iodopyridine,None,41.52339687
BTMG,XPhos,None,None,0.0
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,None,15.77189806
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,None,32.02769538
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,None,43.17090647
