base,ligand,aryl_halide,additive
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,None
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,None
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,None
P2Et,XPhos,1-chloro-4-methoxybenzene,None
P2Et,XPhos,1-bromo-4-methoxybenzene,None
P2Et,XPhos,1-iodo-4-methoxybenzene,None
P2Et,XPhos,1-chloro-4-ethylbenzene,None
P2Et,XPhos,1-bromo-4-ethylbenzene,None
P2Et,XPhos,1-ethyl-4-iodobenzene,None
P2Et,XPhos,2-chloropyridine,None
P2Et,XPhos,2-bromopyridine,None
P2Et,XPhos,2-iodopyridine,None
P2Et,XPhos,3-chloropyridine,None
P2Et,XPhos,3-bromopyridine,None
P2Et,XPhos,3-iodopyridine,None
P2Et,XPhos,None,None
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,None
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,None
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,None
BTMG,XPhos,1-chloro-4-methoxybenzene,None
BTMG,XPhos,1-bromo-4-methoxybenzene,None
BTMG,XPhos,1-iodo-4-methoxybenzene,None
BTMG,XPhos,1-chloro-4-ethylbenzene,None
BTMG,XPhos,1-bromo-4-ethylbenzene,None
BTMG,XPhos,1-ethyl-4-iodobenzene,None
BTMG,XPhos,2-chloropyridine,None
BTMG,XPhos,2-bromopyridine,None
BTMG,XPhos,2-iodopyridine,None
BTMG,XPhos,3-chloropyridine,None
BTMG,XPhos,3-bromopyridine,None
BTMG,XPhos,3-iodopyridine,None
BTMG,XPhos,None,None
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,None
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,None
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,None
MTBD,XPhos,1-chloro-4-methoxybenzene,None
MTBD,XPhos,1-bromo-4-methoxybenzene,None
MTBD,XPhos,1-iodo-4-methoxybenzene,None
MTBD,XPhos,1-chloro-4-ethylbenzene,None
MTBD,XPhos,1-bromo-4-ethylbenzene,None
MTBD,XPhos,1-ethyl-4-iodobenzene,None
MTBD,XPhos,2-chloropyridine,None
MTBD,XPhos,2-bromopyridine,None
MTBD,XPhos,2-iodopyridine,None
MTBD,XPhos,3-chloropyridine,None
MTBD,XPhos,3-bromopyridine,None
MTBD,XPhos,3-iodopyridine,None
MTBD,XPhos,None,None
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole
P2Et,XPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole
P2Et,XPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole
P2Et,XPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole
P2Et,XPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole
P2Et,XPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole
P2Et,XPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole
P2Et,XPhos,2-chloropyridine,5-phenylisoxazole
P2Et,XPhos,2-bromopyridine,5-phenylisoxazole
P2Et,XPhos,2-iodopyridine,5-phenylisoxazole
P2Et,XPhos,3-chloropyridine,5-phenylisoxazole
P2Et,XPhos,3-bromopyridine,5-phenylisoxazole
P2Et,XPhos,3-iodopyridine,5-phenylisoxazole
P2Et,XPhos,None,5-phenylisoxazole
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole
BTMG,XPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole
BTMG,XPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole
BTMG,XPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole
BTMG,XPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole
BTMG,XPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole
BTMG,XPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole
BTMG,XPhos,2-chloropyridine,5-phenylisoxazole
BTMG,XPhos,2-bromopyridine,5-phenylisoxazole
BTMG,XPhos,2-iodopyridine,5-phenylisoxazole
BTMG,XPhos,3-chloropyridine,5-phenylisoxazole
BTMG,XPhos,3-bromopyridine,5-phenylisoxazole
BTMG,XPhos,3-iodopyridine,5-phenylisoxazole
BTMG,XPhos,None,5-phenylisoxazole
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,5-phenylisoxazole
MTBD,XPhos,1-chloro-4-methoxybenzene,5-phenylisoxazole
MTBD,XPhos,1-bromo-4-methoxybenzene,5-phenylisoxazole
MTBD,XPhos,1-iodo-4-methoxybenzene,5-phenylisoxazole
MTBD,XPhos,1-chloro-4-ethylbenzene,5-phenylisoxazole
MTBD,XPhos,1-bromo-4-ethylbenzene,5-phenylisoxazole
MTBD,XPhos,1-ethyl-4-iodobenzene,5-phenylisoxazole
MTBD,XPhos,2-chloropyridine,5-phenylisoxazole
MTBD,XPhos,2-bromopyridine,5-phenylisoxazole
MTBD,XPhos,2-iodopyridine,5-phenylisoxazole
MTBD,XPhos,3-chloropyridine,5-phenylisoxazole
MTBD,XPhos,3-bromopyridine,5-phenylisoxazole
MTBD,XPhos,3-iodopyridine,5-phenylisoxazole
MTBD,XPhos,None,5-phenylisoxazole
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,None,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
BTMG,XPhos,None,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-chloro-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-bromo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-iodo-4-methoxybenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-chloro-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-bromo-4-ethylbenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,1-ethyl-4-iodobenzene,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,2-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,2-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,2-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,3-chloropyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,3-bromopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,3-iodopyridine,ethyl-3-methylisoxazole-5-carboxylate
MTBD,XPhos,None,ethyl-3-methylisoxazole-5-carboxylate
P2Et,XPhos,1-chloro-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-bromo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-iodo-4-(trifluoromethyl)benzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-chloro-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-bromo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-iodo-4-methoxybenzene,ethyl-5-methylisoxazole-3-carboxylate
P2Et,XPhos,1-chloro-4-ethylbenzene,ethyl-5-methylisoxazole-3-carboxylate
